,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
39566,ENSMUSG00000022763.16,12,218,30,42
39567,ENSMUSG00000022761.10,4422,5512,5423,7611
39568,ENSMUSG00000022760.15,403,487,559,790
39569,ENSMUSG00000022759.13,0,5,1,0
39570,ENSMUSG00000022758.12,157,184,151,223
39571,ENSMUSG00000022756.15,675,786,785,1107
39572,ENSMUSG00000005899.12,2424,2464,3863,4203
39573,ENSMUSG00000041617.10,207,262,223,268
39574,ENSMUSG00000012114.16,1922,2037,3073,3587
39575,ENSMUSG00000059150.3,7,5,7,9
39576,ENSMUSG00000022750.17,2124,2636,3052,4302
39577,ENSMUSG00000012017.3,45,189,88,73
39578,ENSMUSG00000090236.2,60,33,65,72
39579,ENSMUSG00000092470.1,66,56,70,74
39580,ENSMUSG00000003166.19,3152,3798,4719,5819
39581,ENSMUSG00000041566.3,14,12,23,18
39582,ENSMUSG00000045521.6,2,10,10,8
39583,ENSMUSG00000003527.8,1250,1416,2064,2496
39584,ENSMUSG00000022738.6,0,1,1,1
39585,ENSMUSG00000103149.1,25,16,19,32
39586,ENSMUSG00000003528.14,1665,2021,2584,3559
39587,ENSMUSG00000059280.3,0,0,0,0
39588,ENSMUSG00000003531.14,889,1017,1556,1915
39589,ENSMUSG00000003526.11,178,228,229,309
39590,ENSMUSG00000089979.1,52,43,50,74
39591,ENSMUSG00000043811.5,915,1012,1064,1928
39592,ENSMUSG00000099293.1,0,0,0,0
39593,ENSMUSG00000090777.1,17,28,17,14
39594,ENSMUSG00000060166.5,1725,1893,2308,2759
39595,ENSMUSG00000005732.14,2011,2313,4557,4331
39596,ENSMUSG00000080364.1,31,20,28,39
39597,ENSMUSG00000022721.18,1847,1968,2826,2991
39598,ENSMUSG00000022718.11,2505,2718,3804,4407
39599,ENSMUSG00000080452.3,0,0,0,0
39600,ENSMUSG00000093246.1,0,0,0,0
39601,ENSMUSG00000013539.13,1002,1140,1279,1877
39602,ENSMUSG00000065464.2,1,0,0,0
39603,ENSMUSG00000000325.15,3165,3645,4742,5591
39604,ENSMUSG00000089044.1,0,0,0,0
39605,ENSMUSG00000092957.1,0,0,0,0
39606,ENSMUSG00000000326.12,1190,1332,1540,2224
39607,ENSMUSG00000087556.1,58,41,97,79
39608,ENSMUSG00000075704.16,271,364,387,506
39609,ENSMUSG00000000884.16,182,182,254,316
39610,ENSMUSG00000086965.1,85,122,194,192
39611,ENSMUSG00000009097.9,4,15,11,30
39612,ENSMUSG00000075335.3,0,0,0,1
39613,ENSMUSG00000050761.3,308,390,381,604
39614,ENSMUSG00000072214.6,10629,11128,11856,18775
39615,ENSMUSG00000041378.1,620,1435,1123,1703
39616,ENSMUSG00000000028.14,212,205,766,451
39617,ENSMUSG00000005262.12,2079,2409,3197,3945
39618,ENSMUSG00000071632.10,219,291,353,459
39619,ENSMUSG00000099908.1,0,0,0,0
39620,ENSMUSG00000022706.15,429,514,770,989
39621,ENSMUSG00000022702.15,1066,1092,1535,1916
39622,ENSMUSG00000082130.1,1,0,2,0
39623,ENSMUSG00000083658.1,3,4,11,12
39624,ENSMUSG00000105028.1,0,0,0,0
39625,ENSMUSG00000060811.4,1,2,1,1
39626,ENSMUSG00000106567.1,0,0,1,0
39627,ENSMUSG00000105906.1,0,0,0,0
39628,ENSMUSG00000106668.1,0,0,0,0
39629,ENSMUSG00000105547.1,0,0,0,0
39630,ENSMUSG00000106405.1,0,0,0,0
39631,ENSMUSG00000105231.1,0,0,0,0
39632,ENSMUSG00000076934.2,0,0,0,0
39633,ENSMUSG00000106444.1,0,0,0,0
39634,ENSMUSG00000106039.1,0,0,0,0
39635,ENSMUSG00000105066.1,0,0,0,0
39636,ENSMUSG00000076937.3,0,0,0,0
39637,ENSMUSG00000104975.1,0,0,0,0
39638,ENSMUSG00000104927.1,0,0,0,0
39639,ENSMUSG00000105128.1,0,0,0,0
39640,ENSMUSG00000076939.2,0,0,0,0
39641,ENSMUSG00000105160.1,0,0,0,0
39642,ENSMUSG00000076940.3,0,0,0,0
39643,ENSMUSG00000050742.4,0,0,0,0
39644,ENSMUSG00000089036.1,0,0,0,0
39645,ENSMUSG00000095529.1,0,0,0,0
39646,ENSMUSG00000050158.5,0,0,0,0
39647,ENSMUSG00000108458.1,0,0,0,0
39648,ENSMUSG00000077172.1,0,0,0,0
39649,ENSMUSG00000056822.3,0,0,0,0
39650,ENSMUSG00000045341.1,0,0,0,0
39651,ENSMUSG00000061361.1,0,0,0,0
39652,ENSMUSG00000068535.1,0,0,0,0
39653,ENSMUSG00000062245.2,0,0,0,0
39654,ENSMUSG00000108369.1,0,0,0,0
39655,ENSMUSG00000060480.4,0,0,0,0
39656,ENSMUSG00000041247.7,2,2,6,8
39657,ENSMUSG00000097945.1,0,0,0,0
39658,ENSMUSG00000022686.14,1867,2456,3152,3515
39659,ENSMUSG00000075330.3,0,0,0,0
39660,ENSMUSG00000099233.1,0,0,0,0
39661,ENSMUSG00000043008.8,36,73,183,177
39662,ENSMUSG00000062901.2,4839,4803,8852,9893
39663,ENSMUSG00000041215.15,3194,3389,6021,5726
39664,ENSMUSG00000084838.3,6,9,7,15
39665,ENSMUSG00000041205.7,104,178,101,191
39666,ENSMUSG00000033918.15,746,758,1504,1598
39667,ENSMUSG00000022818.12,0,2,5,1
39668,ENSMUSG00000022822.15,9142,10027,12160,14466
39669,ENSMUSG00000093649.1,1,0,1,0
39670,ENSMUSG00000088049.1,0,0,0,0
39671,ENSMUSG00000093381.1,0,0,0,0
39672,ENSMUSG00000003235.12,2157,2378,3604,4622
39673,ENSMUSG00000086837.1,32,25,54,49
39674,ENSMUSG00000003233.11,2652,2805,4358,4704
39675,ENSMUSG00000022841.14,9249,11564,13110,18970
39676,ENSMUSG00000080797.1,5,17,25,26
39677,ENSMUSG00000003234.15,1565,1859,2427,3177
39678,ENSMUSG00000046613.18,876,875,668,1070
39679,ENSMUSG00000080669.1,0,0,0,0
39680,ENSMUSG00000033809.14,295,305,475,489
39681,ENSMUSG00000022842.16,744,840,1297,1213
39682,ENSMUSG00000051146.2,1353,2001,1698,2686
39683,ENSMUSG00000006998.15,7898,9346,13543,16650
39684,ENSMUSG00000090319.1,12,6,20,26
39685,ENSMUSG00000045983.15,13677,16624,24208,26831
39686,ENSMUSG00000077239.1,4,5,7,6
39687,ENSMUSG00000050821.13,955,1299,1408,1801
39688,ENSMUSG00000022843.16,1115,1184,1551,1616
39689,ENSMUSG00000021018.7,597,755,1158,1261
39690,ENSMUSG00000022847.14,31,35,42,52
39691,ENSMUSG00000006958.13,547,538,725,785
39692,ENSMUSG00000065372.1,0,0,0,0
39693,ENSMUSG00000099764.1,30,47,50,63
39694,ENSMUSG00000086936.1,1,0,0,1
39695,ENSMUSG00000090356.2,0,0,0,0
39696,ENSMUSG00000005958.14,276,480,574,491
39697,ENSMUSG00000096918.1,1,0,0,0
39698,ENSMUSG00000098400.1,0,0,0,0
39699,ENSMUSG00000033653.17,2481,2689,3819,4994
39700,ENSMUSG00000043391.9,2898,4134,3286,3981
39701,ENSMUSG00000022853.6,22,34,41,52
39702,ENSMUSG00000088758.1,0,0,0,0
39703,ENSMUSG00000097290.8,303,351,634,606
39704,ENSMUSG00000097401.1,2,3,6,7
39705,ENSMUSG00000033618.6,935,1035,1631,1792
39706,ENSMUSG00000091580.1,9,16,24,23
39707,ENSMUSG00000097332.1,0,0,0,4
39708,ENSMUSG00000022856.8,224,334,317,512
39709,ENSMUSG00000044626.12,2,10,17,21
39710,ENSMUSG00000022855.8,2195,2553,3686,4059
39711,ENSMUSG00000068487.6,1,2,4,3
39712,ENSMUSG00000033581.16,876,1218,2301,2050
39713,ENSMUSG00000064686.1,0,0,0,0
39714,ENSMUSG00000043870.9,0,1,2,1
39715,ENSMUSG00000098043.1,0,0,0,0
39716,ENSMUSG00000022858.15,4148,5003,8434,8692
39717,ENSMUSG00000082241.4,0,1,4,1
39718,ENSMUSG00000013089.15,880,1333,2874,3439
39719,ENSMUSG00000022861.16,337,408,470,623
39720,ENSMUSG00000089874.1,0,1,0,0
39721,ENSMUSG00000099071.1,0,0,0,0
39722,ENSMUSG00000089663.1,1,5,6,3
39723,ENSMUSG00000084511.1,0,0,1,0
39724,ENSMUSG00000098448.1,0,1,0,0
39725,ENSMUSG00000033501.4,3,3,4,1
39726,ENSMUSG00000004462.6,345,415,716,753
39727,ENSMUSG00000004460.16,1305,1557,2103,2609
39728,ENSMUSG00000022868.5,0,0,0,0
39729,ENSMUSG00000022871.12,0,1,0,0
39730,ENSMUSG00000022877.8,0,0,0,0
39731,ENSMUSG00000060459.13,0,0,0,0
39732,ENSMUSG00000090021.1,4,12,33,35
39733,ENSMUSG00000087979.1,0,0,0,0
39734,ENSMUSG00000022875.17,0,0,0,0
39735,ENSMUSG00000022884.14,16942,19771,26356,34973
39736,ENSMUSG00000088524.1,0,0,0,0
39737,ENSMUSG00000064880.1,0,0,0,0
39738,ENSMUSG00000104599.1,0,0,0,0
39739,ENSMUSG00000087935.1,0,0,0,0
39740,ENSMUSG00000064382.1,0,0,0,0
39741,ENSMUSG00000065208.1,26,22,44,38
39742,ENSMUSG00000022881.14,308,281,833,703
39743,ENSMUSG00000022878.5,0,0,0,0
39744,ENSMUSG00000068463.3,5,2,10,12
39745,ENSMUSG00000084299.3,0,0,2,1
39746,ENSMUSG00000081988.1,0,0,0,0
39747,ENSMUSG00000045231.4,15,32,41,33
39748,ENSMUSG00000022885.15,3144,2858,5226,6556
39749,ENSMUSG00000084439.1,0,0,0,0
39750,ENSMUSG00000088862.1,0,0,0,0
39751,ENSMUSG00000033383.6,1,9,0,1
39752,ENSMUSG00000022887.8,1484,1278,3151,4632
39753,ENSMUSG00000109783.1,29,29,123,87
39754,ENSMUSG00000033355.6,22,30,84,64
39755,ENSMUSG00000083681.1,2,18,5,15
39756,ENSMUSG00000004366.3,212,659,362,648
39757,ENSMUSG00000047531.8,0,0,0,0
39758,ENSMUSG00000022508.5,948,480,1615,3482
39759,ENSMUSG00000110291.1,9,7,12,25
39760,ENSMUSG00000097867.1,42,41,71,79
39761,ENSMUSG00000033306.14,647,843,1276,1563
