,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
1,ENSMUSG00000102693.1,0,0,0,0
2,ENSMUSG00000064842.1,0,0,0,0
3,ENSMUSG00000051951.5,1585,2127,1492,3119
4,ENSMUSG00000102851.1,0,1,0,1
5,ENSMUSG00000103377.1,0,0,0,1
6,ENSMUSG00000104017.1,0,2,0,1
7,ENSMUSG00000103025.1,3,0,0,5
8,ENSMUSG00000089699.1,0,0,0,0
9,ENSMUSG00000103201.1,1,0,1,1
10,ENSMUSG00000103147.1,2,1,2,2
11,ENSMUSG00000103161.1,0,0,3,2
12,ENSMUSG00000102331.1,2,7,2,1
13,ENSMUSG00000102348.1,1,2,0,8
14,ENSMUSG00000102592.1,0,0,0,0
15,ENSMUSG00000088333.2,0,0,0,0
16,ENSMUSG00000102343.1,0,0,0,0
17,ENSMUSG00000025900.11,11,14,54,27
18,ENSMUSG00000102948.1,0,0,0,0
19,ENSMUSG00000109048.1,0,0,0,0
20,ENSMUSG00000104123.1,0,0,0,0
21,ENSMUSG00000025902.13,49,110,106,149
22,ENSMUSG00000104238.1,1,1,1,2
23,ENSMUSG00000102269.1,1,2,2,5
24,ENSMUSG00000096126.1,1,0,1,0
25,ENSMUSG00000103003.1,0,0,0,0
26,ENSMUSG00000104328.1,2,1,3,5
27,ENSMUSG00000102735.1,0,0,0,0
28,ENSMUSG00000098104.1,15,17,31,27
29,ENSMUSG00000102175.1,4,4,2,7
30,ENSMUSG00000088000.1,0,0,0,0
31,ENSMUSG00000103265.1,0,0,0,2
32,ENSMUSG00000103922.1,23,16,33,37
33,ENSMUSG00000033845.13,815,1090,1783,2046
34,ENSMUSG00000102275.1,20,22,39,28
35,ENSMUSG00000025903.14,270,456,604,617
36,ENSMUSG00000104217.1,0,0,0,0
37,ENSMUSG00000033813.15,1761,2136,3211,3776
38,ENSMUSG00000062588.4,41,62,135,116
39,ENSMUSG00000103280.1,19,38,77,45
40,ENSMUSG00000002459.17,144,200,391,287
41,ENSMUSG00000091305.1,0,0,0,0
42,ENSMUSG00000102653.1,0,0,1,1
43,ENSMUSG00000085623.1,0,1,4,2
44,ENSMUSG00000091665.1,0,0,0,0
45,ENSMUSG00000033793.12,3086,3523,4743,6323
46,ENSMUSG00000104352.1,0,0,0,0
47,ENSMUSG00000104046.1,0,0,0,0
48,ENSMUSG00000102907.1,0,0,0,0
49,ENSMUSG00000025905.13,1,7,2,2
50,ENSMUSG00000103936.1,0,0,0,0
51,ENSMUSG00000093015.1,0,0,0,1
52,ENSMUSG00000103519.1,0,0,0,0
53,ENSMUSG00000033774.4,0,1,0,2
54,ENSMUSG00000103090.1,0,0,0,0
55,ENSMUSG00000025907.14,3620,4085,6107,7074
56,ENSMUSG00000090031.2,187,200,223,302
57,ENSMUSG00000087247.3,0,0,0,0
58,ENSMUSG00000103355.1,3,1,6,4
59,ENSMUSG00000102706.1,0,0,1,1
60,ENSMUSG00000103845.1,127,110,209,320
61,ENSMUSG00000033740.17,111,212,378,311
62,ENSMUSG00000103329.2,1,4,6,7
63,ENSMUSG00000104385.1,0,0,0,0
64,ENSMUSG00000102135.1,4,1,2,2
65,ENSMUSG00000103282.1,0,0,0,0
66,ENSMUSG00000102534.1,0,0,0,0
67,ENSMUSG00000102213.1,0,0,0,0
68,ENSMUSG00000103629.1,0,0,0,0
69,ENSMUSG00000051285.17,2061,2380,3737,4205
70,ENSMUSG00000098201.1,2,0,2,1
71,ENSMUSG00000103509.1,303,312,711,606
72,ENSMUSG00000048538.7,3,5,18,11
73,ENSMUSG00000103709.1,0,2,0,0
74,ENSMUSG00000077244.1,0,0,0,0
75,ENSMUSG00000102768.1,0,0,1,0
76,ENSMUSG00000097797.6,58,56,80,103
77,ENSMUSG00000103498.1,0,0,0,0
78,ENSMUSG00000103067.1,0,0,0,0
79,ENSMUSG00000102320.1,0,0,0,0
80,ENSMUSG00000104226.1,1,0,2,0
81,ENSMUSG00000103903.1,0,0,0,0
82,ENSMUSG00000103557.1,0,0,0,0
83,ENSMUSG00000025909.16,358,350,430,881
84,ENSMUSG00000102647.1,0,0,0,1
85,ENSMUSG00000086235.1,3,9,12,12
86,ENSMUSG00000102253.1,0,0,0,0
87,ENSMUSG00000093970.1,0,0,0,0
88,ENSMUSG00000103884.1,1,0,0,0
89,ENSMUSG00000084353.1,1,1,10,4
90,ENSMUSG00000103933.1,23,29,24,37
91,ENSMUSG00000076135.1,1,1,2,3
92,ENSMUSG00000086195.1,0,0,0,0
93,ENSMUSG00000104504.1,0,0,0,0
94,ENSMUSG00000066693.2,0,2,6,4
95,ENSMUSG00000102316.1,0,0,0,0
96,ENSMUSG00000103819.1,0,0,0,0
97,ENSMUSG00000102871.1,0,0,0,0
98,ENSMUSG00000101571.2,18,25,46,48
99,ENSMUSG00000104428.1,0,0,0,0
100,ENSMUSG00000102272.1,0,0,0,0
101,ENSMUSG00000065625.1,0,0,0,0
102,ENSMUSG00000103411.1,0,0,0,0
103,ENSMUSG00000061024.8,681,773,1225,1497
104,ENSMUSG00000025911.14,25,70,38,47
105,ENSMUSG00000079671.8,14,30,28,31
106,ENSMUSG00000081441.3,1,1,6,5
107,ENSMUSG00000067879.3,806,1551,782,1770
108,ENSMUSG00000099827.1,0,0,0,0
109,ENSMUSG00000025912.16,94,119,594,260
110,ENSMUSG00000045210.8,2064,2458,3629,4126
111,ENSMUSG00000097893.8,1,2,4,3
112,ENSMUSG00000025915.14,230,413,396,443
113,ENSMUSG00000046334.4,0,1,5,5
114,ENSMUSG00000088916.1,0,0,0,0
115,ENSMUSG00000046101.16,44,53,115,153
116,ENSMUSG00000098234.7,504,474,1010,1098
117,ENSMUSG00000093178.1,17,9,26,16
118,ENSMUSG00000099032.2,1,57,14,9
119,ENSMUSG00000104025.1,0,0,0,0
120,ENSMUSG00000025916.10,5,7,13,15
121,ENSMUSG00000087199.1,0,0,2,0
122,ENSMUSG00000095780.1,0,0,2,0
123,ENSMUSG00000025917.9,2133,2582,3740,4380
124,ENSMUSG00000056763.16,2333,2201,4575,4205
125,ENSMUSG00000102356.1,0,0,0,1
126,ENSMUSG00000067851.11,3464,4048,5855,6606
127,ENSMUSG00000088153.1,0,5,6,3
128,ENSMUSG00000102556.1,0,1,1,4
129,ENSMUSG00000042501.12,1,3,0,0
130,ENSMUSG00000103810.1,0,0,0,0
131,ENSMUSG00000083422.1,2,0,3,2
132,ENSMUSG00000094979.1,0,0,0,0
133,ENSMUSG00000081417.1,0,0,0,2
134,ENSMUSG00000103448.1,0,0,0,0
135,ENSMUSG00000100212.1,0,0,0,1
136,ENSMUSG00000100648.1,0,0,0,1
137,ENSMUSG00000088585.1,0,0,0,0
138,ENSMUSG00000048960.13,154,330,298,298
139,ENSMUSG00000077318.1,0,0,1,0
140,ENSMUSG00000101827.1,0,0,0,0
141,ENSMUSG00000103494.1,0,0,0,0
142,ENSMUSG00000057715.13,579,840,349,710
143,ENSMUSG00000103825.1,1,0,0,0
144,ENSMUSG00000099845.1,0,0,0,0
145,ENSMUSG00000103561.1,0,0,0,0
146,ENSMUSG00000101610.1,6,3,3,1
147,ENSMUSG00000093864.1,0,0,0,0
148,ENSMUSG00000098555.1,0,0,0,0
149,ENSMUSG00000097628.1,0,0,0,0
150,ENSMUSG00000098163.1,0,0,0,0
151,ENSMUSG00000097171.1,0,0,0,0
152,ENSMUSG00000101314.1,0,0,0,0
153,ENSMUSG00000016918.15,52,267,51,256
154,ENSMUSG00000025938.16,2469,2763,3612,4671
155,ENSMUSG00000104518.1,0,0,0,0
156,ENSMUSG00000069620.6,0,0,0,0
157,ENSMUSG00000099498.1,0,0,0,0
158,ENSMUSG00000042414.7,0,1,0,4
159,ENSMUSG00000005886.14,3654,4526,5210,6080
160,ENSMUSG00000103506.1,2,1,3,4
161,ENSMUSG00000103495.1,0,0,0,3
162,ENSMUSG00000099183.1,0,0,0,0
163,ENSMUSG00000102639.1,1,0,0,0
164,ENSMUSG00000104170.1,0,0,0,1
165,ENSMUSG00000087782.1,1,0,0,0
166,ENSMUSG00000103085.1,4,5,2,4
167,ENSMUSG00000102664.1,0,0,4,0
168,ENSMUSG00000101476.1,0,0,0,0
169,ENSMUSG00000101171.1,0,0,0,0
170,ENSMUSG00000025935.10,1043,1429,1822,1959
171,ENSMUSG00000025937.6,116,132,224,284
172,ENSMUSG00000102982.1,2,4,4,6
173,ENSMUSG00000067813.3,0,0,1,0
174,ENSMUSG00000077368.1,0,0,0,0
175,ENSMUSG00000097711.1,1,0,2,1
176,ENSMUSG00000102166.1,0,1,1,3
177,ENSMUSG00000089358.1,0,0,0,0
178,ENSMUSG00000104209.1,0,0,0,1
179,ENSMUSG00000025932.14,104,251,427,254
180,ENSMUSG00000095853.1,0,1,2,0
181,ENSMUSG00000102588.1,0,0,1,0
182,ENSMUSG00000054493.2,6,6,2,5
183,ENSMUSG00000025930.6,11,16,7,18
184,ENSMUSG00000103492.1,1,16,2,0
185,ENSMUSG00000081201.1,3,10,5,4
186,ENSMUSG00000082193.1,23,25,49,46
187,ENSMUSG00000032769.4,8,3,1,7
188,ENSMUSG00000088159.1,0,0,0,0
189,ENSMUSG00000073737.3,3,0,3,0
190,ENSMUSG00000092083.4,748,998,786,1243
191,ENSMUSG00000102937.1,0,0,0,0
192,ENSMUSG00000104149.1,0,0,1,2
193,ENSMUSG00000088829.1,0,0,0,0
194,ENSMUSG00000077377.1,0,0,0,0
195,ENSMUSG00000101652.1,0,2,0,1
196,ENSMUSG00000100814.1,0,0,0,0
197,ENSMUSG00000025925.14,272,320,728,588
198,ENSMUSG00000104379.1,11,9,15,8
199,ENSMUSG00000032719.4,2,6,14,12
200,ENSMUSG00000088943.1,0,1,0,0
201,ENSMUSG00000100652.1,1,1,0,0
202,ENSMUSG00000067795.13,25,39,28,42
203,ENSMUSG00000043716.13,17482,19440,31388,39306
204,ENSMUSG00000025921.7,266,320,389,438
205,ENSMUSG00000104165.1,6,7,10,12
206,ENSMUSG00000100868.1,8,6,20,11
207,ENSMUSG00000025920.19,3773,4717,5725,7782
208,ENSMUSG00000089982.7,2,4,1,3
209,ENSMUSG00000025939.17,1230,1573,1857,2447
210,ENSMUSG00000102457.1,3,7,2,6
211,ENSMUSG00000079658.9,2512,3193,4032,5025
212,ENSMUSG00000097744.1,0,0,2,0
213,ENSMUSG00000100959.1,0,0,1,2
214,ENSMUSG00000025940.6,525,709,976,1212
215,ENSMUSG00000025779.10,11,18,25,32
216,ENSMUSG00000100093.1,0,0,0,0
217,ENSMUSG00000091020.3,11,28,35,42
218,ENSMUSG00000101640.1,0,0,0,0
219,ENSMUSG00000104133.1,0,0,0,0
220,ENSMUSG00000042686.5,206,187,340,381
221,ENSMUSG00000100110.1,0,0,0,0
222,ENSMUSG00000025777.8,4442,5298,5826,8283
223,ENSMUSG00000099899.1,10,7,12,5
224,ENSMUSG00000100272.1,0,0,0,0
225,ENSMUSG00000100398.1,0,0,0,0
226,ENSMUSG00000101589.1,18,37,64,70
227,ENSMUSG00000102048.1,1,1,0,0
228,ENSMUSG00000089534.1,0,0,0,0
229,ENSMUSG00000067780.3,4,3,7,4
230,ENSMUSG00000100053.1,5,15,6,13
231,ENSMUSG00000085125.7,4,11,4,9
232,ENSMUSG00000025776.13,17,190,26,22
233,ENSMUSG00000099895.1,1,4,2,5
234,ENSMUSG00000100554.1,2,7,8,7
235,ENSMUSG00000099473.1,1,3,3,5
236,ENSMUSG00000099591.1,21,31,9,26
237,ENSMUSG00000109887.1,103,197,125,222
238,ENSMUSG00000102001.1,0,1,0,0
239,ENSMUSG00000101717.2,0,0,0,0
240,ENSMUSG00000025774.14,0,0,0,0
241,ENSMUSG00000070977.4,0,0,0,0
242,ENSMUSG00000073735.1,0,0,0,0
243,ENSMUSG00000067773.6,0,0,0,0
244,ENSMUSG00000101685.1,0,1,2,2
245,ENSMUSG00000101738.1,0,0,0,0
246,ENSMUSG00000101306.1,0,0,0,1
247,ENSMUSG00000088800.1,0,0,0,0
248,ENSMUSG00000101644.1,0,0,0,0
249,ENSMUSG00000099433.1,0,0,0,0
250,ENSMUSG00000089787.2,1,1,0,0
251,ENSMUSG00000042596.7,50,180,100,112
252,ENSMUSG00000100720.1,2,5,10,4
253,ENSMUSG00000025927.13,2,119,4,7
254,ENSMUSG00000100538.1,0,0,0,0
255,ENSMUSG00000101117.1,0,0,0,0
256,ENSMUSG00000100204.1,7,5,17,23
257,ENSMUSG00000084668.1,0,0,0,0
258,ENSMUSG00000102597.1,0,0,0,0
259,ENSMUSG00000043760.16,0,0,0,3
260,ENSMUSG00000104095.1,0,0,0,0
261,ENSMUSG00000089914.2,0,0,0,0
262,ENSMUSG00000090142.2,37,47,69,85
263,ENSMUSG00000070175.1,0,0,0,0
264,ENSMUSG00000065559.1,0,0,0,0
265,ENSMUSG00000099906.1,0,0,0,0
266,ENSMUSG00000065480.1,0,0,0,0
267,ENSMUSG00000025929.4,0,0,0,0
268,ENSMUSG00000041872.9,0,1,3,1
269,ENSMUSG00000041859.10,480,582,2687,1339
270,ENSMUSG00000099714.1,0,0,3,0
271,ENSMUSG00000102121.1,0,0,0,0
272,ENSMUSG00000088858.1,0,0,0,0
273,ENSMUSG00000097934.1,2,6,14,11
274,ENSMUSG00000025931.15,792,1192,2335,1691
275,ENSMUSG00000077314.1,0,0,0,0
276,ENSMUSG00000100929.1,0,0,2,2
277,ENSMUSG00000041809.5,15,21,36,30
278,ENSMUSG00000041779.5,144,253,429,298
279,ENSMUSG00000099971.1,0,0,0,1
280,ENSMUSG00000100819.1,8,9,6,8
281,ENSMUSG00000025933.15,49,135,129,231
282,ENSMUSG00000102633.1,0,0,2,1
283,ENSMUSG00000025934.15,17,13,21,26
284,ENSMUSG00000099343.1,0,0,1,0
285,ENSMUSG00000096375.2,0,3,1,2
286,ENSMUSG00000025936.15,0,0,0,0
287,ENSMUSG00000093963.1,0,0,0,0
288,ENSMUSG00000067750.3,1,0,1,1
289,ENSMUSG00000086194.1,0,0,0,1
290,ENSMUSG00000094436.1,0,0,0,1
291,ENSMUSG00000041722.7,1,2,4,5
292,ENSMUSG00000085507.1,3,1,2,8
293,ENSMUSG00000094926.1,1,0,3,0
294,ENSMUSG00000085079.3,3,6,9,7
295,ENSMUSG00000085679.2,0,0,0,0
296,ENSMUSG00000028033.16,1369,1170,1904,3072
297,ENSMUSG00000104138.1,0,1,3,1
298,ENSMUSG00000082935.3,53,64,99,80
299,ENSMUSG00000103748.1,0,1,0,0
300,ENSMUSG00000097109.1,42,41,44,67
301,ENSMUSG00000099692.1,1,1,0,2
302,ENSMUSG00000100418.1,0,0,0,0
303,ENSMUSG00000041670.15,1860,2576,1676,2923
304,ENSMUSG00000097642.1,1,0,0,0
305,ENSMUSG00000101468.1,0,0,1,0
306,ENSMUSG00000101227.1,0,1,1,1
307,ENSMUSG00000073730.2,0,1,0,0
308,ENSMUSG00000089553.1,0,0,0,0
309,ENSMUSG00000102766.1,0,0,0,0
310,ENSMUSG00000065405.3,0,0,0,0
311,ENSMUSG00000097970.1,9,10,27,14
312,ENSMUSG00000065567.1,0,0,0,0
313,ENSMUSG00000100775.1,0,0,0,0
314,ENSMUSG00000101226.1,0,0,0,0
315,ENSMUSG00000026158.11,731,942,1746,2117
316,ENSMUSG00000097920.1,0,0,0,0
317,ENSMUSG00000099503.1,0,0,6,5
318,ENSMUSG00000026156.8,646,581,1174,1825
319,ENSMUSG00000026155.13,977,1246,2060,2113
320,ENSMUSG00000026154.4,361,318,425,735
321,ENSMUSG00000102495.1,3,0,0,0
322,ENSMUSG00000026153.15,1985,2024,4579,4405
323,ENSMUSG00000102398.1,4,4,6,12
324,ENSMUSG00000097670.1,0,0,0,0
325,ENSMUSG00000026147.16,20,26,44,85
326,ENSMUSG00000026141.13,289,260,320,432
327,ENSMUSG00000077463.1,0,0,0,0
328,ENSMUSG00000099997.1,14,19,28,50
329,ENSMUSG00000100131.1,273,461,407,575
330,ENSMUSG00000067736.2,48,70,59,109
331,ENSMUSG00000101939.1,255,373,154,456
332,ENSMUSG00000101111.1,375,528,595,687
333,ENSMUSG00000100862.1,344,637,606,838
334,ENSMUSG00000102070.1,255,368,446,556
335,ENSMUSG00000101249.1,438,672,837,1081
336,ENSMUSG00000073725.8,1317,1536,1827,2549
337,ENSMUSG00000100808.1,0,0,0,0
338,ENSMUSG00000100483.1,0,0,0,0
339,ENSMUSG00000100450.1,2,0,2,1
340,ENSMUSG00000099392.1,0,0,0,0
341,ENSMUSG00000033569.17,3430,4336,4110,5913
342,ENSMUSG00000080849.1,0,0,1,0
343,ENSMUSG00000104257.1,1,0,0,0
344,ENSMUSG00000096866.1,0,0,0,0
345,ENSMUSG00000102296.1,0,0,1,2
346,ENSMUSG00000103209.1,1,0,1,0
347,ENSMUSG00000104027.1,0,0,3,1
348,ENSMUSG00000102407.1,0,0,1,2
349,ENSMUSG00000103214.1,1,3,2,1
350,ENSMUSG00000104100.1,1,1,1,2
351,ENSMUSG00000084740.1,0,0,0,0
352,ENSMUSG00000103889.1,1,2,0,1
353,ENSMUSG00000101301.1,0,0,0,1
354,ENSMUSG00000104221.1,0,0,3,2
355,ENSMUSG00000102250.1,1,0,1,0
356,ENSMUSG00000102317.1,1,1,1,3
357,ENSMUSG00000103563.1,1,1,0,0
358,ENSMUSG00000102465.1,0,1,3,1
359,ENSMUSG00000102659.1,1,2,0,0
360,ENSMUSG00000103924.1,0,0,2,0
361,ENSMUSG00000104132.1,0,1,3,0
362,ENSMUSG00000102747.1,0,0,0,0
363,ENSMUSG00000102386.1,0,2,3,0
364,ENSMUSG00000103004.1,0,0,0,1
365,ENSMUSG00000104516.1,12,58,49,35
366,ENSMUSG00000101618.1,0,0,0,0
367,ENSMUSG00000099458.1,0,0,0,0
368,ENSMUSG00000088111.1,0,0,0,0
369,ENSMUSG00000073722.3,0,0,0,0
370,ENSMUSG00000095256.1,0,0,0,0
371,ENSMUSG00000100310.1,0,0,0,0
372,ENSMUSG00000101514.1,0,0,0,0
373,ENSMUSG00000101033.1,0,0,0,0
374,ENSMUSG00000101372.1,3,2,7,6
375,ENSMUSG00000103241.1,0,0,0,0
376,ENSMUSG00000086240.4,6,12,17,12
377,ENSMUSG00000048411.4,0,0,0,0
378,ENSMUSG00000081557.2,2,0,2,5
379,ENSMUSG00000058590.2,0,0,0,0
380,ENSMUSG00000101235.1,0,0,0,0
381,ENSMUSG00000064433.1,0,0,0,0
382,ENSMUSG00000080625.1,0,0,0,0
383,ENSMUSG00000080391.1,0,0,0,0
384,ENSMUSG00000099257.1,0,0,0,0
385,ENSMUSG00000099492.1,82,111,154,198
386,ENSMUSG00000101726.1,0,0,0,0
387,ENSMUSG00000096829.1,0,0,0,0
388,ENSMUSG00000098883.1,0,0,0,0
389,ENSMUSG00000053185.2,0,1,0,1
390,ENSMUSG00000100261.1,4,0,5,1
391,ENSMUSG00000101180.1,1,0,1,1
392,ENSMUSG00000048874.15,5327,5875,8691,9852
393,ENSMUSG00000103783.1,1,1,9,7
394,ENSMUSG00000104315.1,3,1,3,5
395,ENSMUSG00000026064.15,2976,3063,5011,6146
396,ENSMUSG00000086151.3,0,0,0,0
397,ENSMUSG00000086726.2,0,0,0,0
398,ENSMUSG00000087346.2,0,0,0,1
399,ENSMUSG00000100371.1,0,0,0,0
400,ENSMUSG00000100237.1,0,0,0,0
401,ENSMUSG00000098529.1,0,0,0,0
402,ENSMUSG00000086727.7,0,0,0,0
403,ENSMUSG00000100910.1,1,0,1,1
404,ENSMUSG00000099796.1,0,0,0,0
405,ENSMUSG00000050217.13,0,0,0,1
406,ENSMUSG00000026063.4,0,0,0,0
407,ENSMUSG00000077664.1,0,0,0,0
408,ENSMUSG00000100205.1,0,0,0,0
409,ENSMUSG00000100592.1,0,0,0,0
410,ENSMUSG00000094215.2,0,0,0,0
411,ENSMUSG00000101093.1,0,0,0,0
412,ENSMUSG00000070960.4,0,1,18,1
413,ENSMUSG00000088620.1,0,0,0,0
414,ENSMUSG00000082159.2,0,0,1,0
415,ENSMUSG00000026058.11,1002,944,1847,2029
416,ENSMUSG00000064688.1,0,0,2,0
417,ENSMUSG00000103482.1,3,3,9,2
418,ENSMUSG00000104498.1,0,0,0,1
419,ENSMUSG00000104313.1,2,0,2,0
420,ENSMUSG00000102865.1,3,1,1,2
421,ENSMUSG00000102321.1,4,2,5,5
422,ENSMUSG00000091318.2,7,8,10,11
423,ENSMUSG00000089489.1,0,0,0,0
424,ENSMUSG00000104433.1,12,12,15,25
425,ENSMUSG00000089395.1,1,0,0,3
426,ENSMUSG00000102926.1,0,0,0,0
427,ENSMUSG00000100497.1,0,0,0,1
428,ENSMUSG00000102917.1,0,0,0,0
429,ENSMUSG00000100481.1,36,32,55,80
430,ENSMUSG00000100590.1,4,0,1,3
431,ENSMUSG00000088750.1,0,0,0,0
432,ENSMUSG00000104230.1,1,0,0,0
433,ENSMUSG00000101754.2,0,0,0,0
434,ENSMUSG00000065223.1,1,0,0,0
435,ENSMUSG00000100318.2,3,1,2,1
436,ENSMUSG00000101612.2,0,3,3,1
437,ENSMUSG00000065260.1,0,0,0,0
438,ENSMUSG00000026134.11,562,858,1385,1314
439,ENSMUSG00000101682.1,0,3,4,1
440,ENSMUSG00000102714.1,0,1,1,1
441,ENSMUSG00000102093.1,0,0,0,0
442,ENSMUSG00000103746.1,27,44,56,47
443,ENSMUSG00000102198.1,0,5,1,5
444,ENSMUSG00000004768.14,1639,1848,2362,2611
445,ENSMUSG00000042215.8,333,386,542,583
446,ENSMUSG00000103072.1,0,0,2,1
447,ENSMUSG00000042197.13,6366,7244,11574,12783
448,ENSMUSG00000081402.4,13,24,24,32
449,ENSMUSG00000042182.16,3667,5200,3789,6367
450,ENSMUSG00000104416.1,20,20,21,24
451,ENSMUSG00000026131.17,21529,23206,28708,38971
452,ENSMUSG00000103596.1,0,2,3,2
453,ENSMUSG00000099382.1,0,0,0,0
454,ENSMUSG00000084506.1,0,0,0,0
455,ENSMUSG00000103364.1,0,3,4,3
456,ENSMUSG00000105982.1,0,0,0,0
457,ENSMUSG00000096992.3,19,7,30,33
458,ENSMUSG00000104475.1,8,12,11,11
459,ENSMUSG00000103001.1,1,1,4,1
460,ENSMUSG00000104397.1,0,0,0,0
461,ENSMUSG00000102839.1,0,0,0,0
462,ENSMUSG00000101206.1,0,0,0,0
463,ENSMUSG00000101462.2,61,56,140,126
464,ENSMUSG00000102336.1,334,298,887,941
465,ENSMUSG00000092852.1,0,0,0,0
466,ENSMUSG00000042111.9,747,842,1065,1396
467,ENSMUSG00000101711.1,4,0,2,5
468,ENSMUSG00000026127.13,1154,1343,1970,2331
469,ENSMUSG00000026126.15,5,24,33,25
470,ENSMUSG00000100280.2,0,0,5,5
471,ENSMUSG00000101223.6,0,0,0,1
472,ENSMUSG00000026125.9,0,0,0,0
473,ENSMUSG00000101116.1,0,0,0,0
474,ENSMUSG00000026124.4,0,0,0,0
475,ENSMUSG00000101803.1,0,0,0,0
476,ENSMUSG00000037529.13,0,0,0,0
477,ENSMUSG00000045815.4,6,12,4,4
478,ENSMUSG00000045174.10,2506,3202,2755,4497
479,ENSMUSG00000100524.1,0,0,0,0
480,ENSMUSG00000102499.1,0,0,0,0
481,ENSMUSG00000103521.1,0,0,0,0
482,ENSMUSG00000104098.1,0,0,2,0
483,ENSMUSG00000037509.19,752,1036,1120,1543
484,ENSMUSG00000102537.1,0,0,0,0
485,ENSMUSG00000102612.1,0,0,0,0
486,ENSMUSG00000104002.2,83,66,124,143
487,ENSMUSG00000037503.12,18351,19320,30830,37890
488,ENSMUSG00000104358.1,48,60,111,70
489,ENSMUSG00000026123.11,1597,2254,2193,2738
490,ENSMUSG00000103716.1,0,0,0,1
491,ENSMUSG00000103548.1,6,3,3,15
492,ENSMUSG00000103760.1,0,1,0,1
493,ENSMUSG00000103997.1,0,0,1,0
494,ENSMUSG00000077231.1,0,0,0,0
495,ENSMUSG00000104417.1,1,2,4,6
496,ENSMUSG00000064601.1,0,0,0,0
497,ENSMUSG00000101714.1,0,0,0,0
498,ENSMUSG00000102531.1,0,0,0,0
499,ENSMUSG00000103096.1,0,0,0,0
500,ENSMUSG00000102279.1,0,0,0,0
501,ENSMUSG00000103708.1,0,0,0,0
502,ENSMUSG00000104201.1,0,0,0,0
503,ENSMUSG00000102434.1,0,1,0,0
504,ENSMUSG00000045216.7,1975,2827,3262,3853
505,ENSMUSG00000104523.1,0,0,0,0
506,ENSMUSG00000102202.1,27,28,65,55
507,ENSMUSG00000037470.14,3733,4370,6697,7559
508,ENSMUSG00000098752.1,0,1,1,0
509,ENSMUSG00000047180.8,13,11,84,61
510,ENSMUSG00000037447.16,40,69,87,97
511,ENSMUSG00000102762.1,3,9,10,9
512,ENSMUSG00000010453.12,2531,2984,3571,4387
513,ENSMUSG00000098680.1,0,0,0,0
514,ENSMUSG00000037432.15,558,587,682,974
515,ENSMUSG00000001143.13,1681,1848,2327,3101
516,ENSMUSG00000037408.10,370,388,507,654
517,ENSMUSG00000104316.1,4,0,0,2
518,ENSMUSG00000106081.1,0,0,0,0
519,ENSMUSG00000001138.13,1524,1625,2340,2635
520,ENSMUSG00000102845.1,0,0,0,0
521,ENSMUSG00000067653.12,28,47,48,46
522,ENSMUSG00000109510.1,1,0,0,0
523,ENSMUSG00000079610.9,125,190,256,233
524,ENSMUSG00000026121.13,4196,4899,6074,7728
525,ENSMUSG00000087589.3,73,113,126,127
526,ENSMUSG00000046337.17,1,4,0,7
527,ENSMUSG00000089906.1,0,1,0,1
528,ENSMUSG00000077939.1,0,0,0,0
529,ENSMUSG00000061518.10,1916,2562,2882,3953
530,ENSMUSG00000037351.9,3221,3686,5169,6071
531,ENSMUSG00000102416.4,7,9,8,10
532,ENSMUSG00000104237.1,2,13,5,11
533,ENSMUSG00000026117.10,24,32,19,39
534,ENSMUSG00000097291.1,0,2,0,1
535,ENSMUSG00000026116.11,5372,5308,8929,9730
536,ENSMUSG00000103016.1,0,0,1,1
537,ENSMUSG00000102930.1,0,0,1,1
538,ENSMUSG00000103159.1,0,1,4,2
539,ENSMUSG00000080054.3,6,4,6,7
540,ENSMUSG00000095944.1,0,0,0,0
541,ENSMUSG00000050122.18,2,4,5,2
542,ENSMUSG00000103603.1,0,0,0,0
543,ENSMUSG00000026114.14,2,3,1,1
544,ENSMUSG00000102231.1,0,0,0,0
545,ENSMUSG00000026113.17,4308,5075,5387,6905
546,ENSMUSG00000086064.1,3,0,0,0
547,ENSMUSG00000102879.1,0,2,0,0
548,ENSMUSG00000026112.7,2278,2554,3959,4413
549,ENSMUSG00000026111.15,751,918,1241,1379
550,ENSMUSG00000026110.15,878,1278,982,1413
551,ENSMUSG00000103948.1,1,2,6,2
552,ENSMUSG00000087233.1,0,0,1,0
553,ENSMUSG00000026090.16,61,125,42,91
554,ENSMUSG00000089767.1,0,0,0,0
555,ENSMUSG00000104365.1,0,0,0,0
556,ENSMUSG00000102650.1,0,0,0,0
557,ENSMUSG00000060771.14,1024,984,1610,1876
558,ENSMUSG00000097268.1,10,12,3,11
559,ENSMUSG00000037216.5,77,117,113,138
560,ENSMUSG00000026088.15,256,286,558,567
561,ENSMUSG00000026087.11,1254,1402,1923,2545
562,ENSMUSG00000061584.6,0,1,0,0
563,ENSMUSG00000087374.1,0,4,0,0
564,ENSMUSG00000026085.11,0,0,0,0
565,ENSMUSG00000089141.1,0,0,0,0
566,ENSMUSG00000058407.12,1803,1934,3260,3689
567,ENSMUSG00000026083.12,3468,3906,6022,6726
568,ENSMUSG00000026082.11,1096,1135,1952,2170
569,ENSMUSG00000103804.1,34,15,56,53
570,ENSMUSG00000102716.1,1,0,2,2
571,ENSMUSG00000037138.16,8312,6020,13127,16547
